[Skills]
Telepathy,142.85,Mindforce
Translocation,176.72,Mindforce
Jamming,1.43,Mindforce
Cryogenics,1461.02,Mindforce
Manufacture Vehicle,1.00,Construction
Vehicle Repairing,4542.32,Construction
Vehicle Technology,3173.00,Construction
Artefact Preservation,170.30,Mining
Precision Artefact Extraction,75.61,Mining
Treasure Sense,163.67,Mining
Spacecraft Engineering,1.00,Construction
Spacecraft Pilot,479.73,Science
Spacecraft Systems,337.61,Science
Spacecraft Weaponry,1.00,Construction
Scan Technology,1.00,Information
Resource Gathering,2932.81,Mining
Reclaiming,1244.40,Information
Scourging,1219.82,Information
Skinning,3692.39,Information
Promoter Rating,1000.00,Social
Reputation,1000.00,Social

[Professions]
Laser Sniper (Hit),46.17,Combat
Laser Pistoleer (Hit),39.04,Combat
Ranged Laser (Dmg),41.39,Combat
BLP Sniper (Hit),42.58,Combat
BLP Pistoleer (Hit),35.45,Combat
Ranged BLP (Dmg),34.98,Combat
Evader,24.77,Combat
Dodger,21.20,Combat
Mechanical Engineer,26.31,Manufacturing
Armor Engineer,16.95,Manufacturing
Attachment Engineer,15.05,Manufacturing
Laser Weapons Engineer,23.35,Manufacturing
Brawler (Dmg),18.23,Combat
Brawler (Hit),14.97,Combat
Driller,8.14,Resource Collecting
Electronics Engineer,25.82,Manufacturing
Knifefighter (Dmg),21.87,Combat
Knifefighter (Hit),21.14,Combat
Paramedic,18.64,Combat
Swordsman (Hit),16.12,Combat
Swordsman (Dmg),18.71,Combat
Surveyor,11.62,Resource Collecting
Prospector,18.40,Resource Collecting
Miner,17.34,Resource Collecting
Biotropic,13.47,Mindforce
BLP Weapons Engineer,22.13,Manufacturing
Body Sculptor,1.02,Miscellaneous
Carpenter,14.65,Manufacturing
Colorer,4.45,Miscellaneous
Face Sculptor,1.02,Miscellaneous
Hair Stylist,1.02,Miscellaneous
Longblades Engineer,21.37,Manufacturing
Animal Investigator,7.15,Miscellaneous
Robot Investigator,6.51,Miscellaneous
Humanoid Investigator,11.11,Miscellaneous
Mutant Investigator,7.96,Miscellaneous
Pet Handler,13.64,Miscellaneous
Animal Tamer,12.68,Miscellaneous
Whipper (Hit),14.92,Combat
Whipper (Dmg),17.09,Combat
Tailor,15.28,Manufacturing
One Handed Clubber (Hit),13.36,Combat
One Handed Clubber (Dmg),16.75,Combat
Decoy Dispenser,17.75,Combat
Gauss Sniper (Hit),37.67,Combat
Gauss Weapons Engineer,20.73,Manufacturing
Metal Engineer,23.07,Manufacturing
Plasma Pistoleer (Hit),31.05,Combat
Plasma Sniper (Hit),38.17,Combat
Electro Kinetic (Hit),18.85,Mindforce
Electro Kinetic (Dmg),25.46,Mindforce
Pyro Kinetic (Hit),13.19,Mindforce
Pyro Kinetic (Dmg),20.94,Mindforce
Tool Engineer,15.05,Manufacturing
Ranged Gauss (Dmg),26.21,Combat
Ranged Plasma (Dmg),27.11,Combat
Grenadier (Hit),15.96,Combat
Grenadier (Dmg),25.10,Combat
Translocator,5.69,Mindforce
Two Handed Clubber (Hit),13.07,Combat
Two Handed Clubber (Dmg),16.75,Combat
Projectile Launcher Engineer,21.67,Manufacturing
Shortblades Engineer,21.88,Manufacturing
Plasma Weapons Engineer,21.07,Manufacturing
Powerfist Engineer,21.29,Manufacturing
Mentor,0.01,Miscellaneous
Sweat Gatherer,15.63,Mindforce
Material Manufacturer,11.98,Manufacturing
Material Designer,1.27,Miscellaneous
Enhancer Manufacturer,11.75,Manufacturing
Tier Upgrader,11.42,Manufacturing
Telepath,7.22,Mindforce
Jammer,13.06,Mindforce
Cryogenic (Hit),14.06,Mindforce
Cryogenic (Dmg),21.63,Mindforce
Mounted Laser (Hit),23.65,Combat
Mounted BLP (Hit),20.07,Combat
Mounted Grenadier (Hit),15.96,Combat
Vehicle Structural Engineer,31.81,Manufacturing
Vehicle Engineer,17.14,Manufacturing
Treasure hunter,7.48,Resource Collecting
Archaelogist,3.81,Resource Collecting
Gunner (Hit),10.01,Combat
Gunner (Dmg),19.42,Combat
Captain,9.32,Combat
Spacecraft Engineering,10.55,Manufacturing
Technology Investigator,6.51,Miscellaneous
Resource Gatherer,25.53,Resource Collecting
Animal Looter,28.33,Resource Collecting
Mutant Looter,19.35,Resource Collecting
Robot Looter,17.46,Resource Collecting

[Totals]
Total,176629
Attributes,470
General,26316
Combat,49410
Defense,4117
Medical,9373
Mining,12317
Construction,35590
Science,18694
Information,6177
Tailoring,1710
Beauty,4
Mindforce,10452
Social,2000
